This is the complete list of games supported by PinMAME 3.2 [MAME 0.76] (Oct  5 2019).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Black Jack (Free Play)           |  Yes  |  Yes  |  Yes  |  Yes  | blackjcb |
| Black Jack                       |  Yes  |  Yes  |  Yes  |  Yes  | blackjck |
| Black Jack (Free Play+)          |  Yes  |  Yes  |  Yes  |  Yes  | blackjcd |
| Black Knight (L-4)               |  Yes  |  Yes  | Yes(2)|  Yes  | bk_l4    |
| Black Knight (L-3)               |  Yes  |  Yes  | Yes(2)|  Yes  | bk_l3    |
| Black Knight (L-4, French Speech)|  Yes  |  Yes  | Yes(2)|  Yes  | bk_f4    |
| Black Knight 2000 (LG-3 German)  |  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_lg3 |
| Black Knight 2000 (PF-1 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_pf1 |
| Black Knight 2000 (L-4)          |  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_l4  |
| Black Knight 2000 (LA-2)         |  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_la2 |
| Black Knight 2000 (PA-7 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_pa7 |
| Black Knight 2000 (PA-5 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_pa5 |
| Black Knight 2000 (PU-1 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_pu1 |
| Black Knight 2000 (LG-1 German)  |  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_lg1 |
| Black Pyramid                    |  Yes  |  Yes  |  Yes  |  Yes  | blakpyra |
| Black Pyramid (Free Play)        |  Yes  |  Yes  |  Yes  |  Yes  | blakpyrb |
| Black Rose (P-18 LED Ghost Fix)  |  Yes  |  Yes  | Yes(2)|  Yes  | br_p18   |
| Black Rose (L-4)                 |  Yes  |  Yes  | Yes(2)|  Yes  | br_l4    |
| Black Rose (P-17 Prototype, SP-1)|  Yes  |  Yes  | Yes(2)|  Yes  | br_p17   |
| Black Rose (D-3 LED Ghost Fix)   |  Yes  |  Yes  | Yes(2)|  Yes  | br_d3    |
| Black Rose (L-3)                 |  Yes  |  Yes  | Yes(2)|  Yes  | br_l3    |
| Black Rose (D-1 LED Ghost Fix)   |  Yes  |  Yes  | Yes(2)|  Yes  | br_d1    |
| Black Rose (L-1)                 |  Yes  |  Yes  | Yes(2)|  Yes  | br_l1    |
| Black Rose (D-4 LED Ghost Fix)   |  Yes  |  Yes  | Yes(2)|  Yes  | br_d4    |
| Black Sheep Squadron             |  Yes  |  Yes  |  Yes  |  Yes  | blkshpsq |
| Black Velvet                     |  Yes  |  Yes  |  Yes  |  Yes  | blvelvet |
| Blackout (T-1 Ted Estes)         |  Yes  |  Yes  | Yes(2)|  Yes  | blkou_t1 |
| Blackout (L-1, French Speech)    |  Yes  |  Yes  | Yes(2)|  Yes  | blkou_f1 |
| Blackout (L-1)                   |  Yes  |  Yes  | Yes(2)|  Yes  | blkou_l1 |
| Blackwater 100                   |  Yes  |  Yes  |  Yes  |  Yes  | black100 |
| Blackwater 100 (Single Ball Play)|  Yes  |  Yes  |  Yes  |  Yes  | black10s |
| Bloody Roller                    |  Yes  |  Yes  |  Yes  |  Yes  | blroller |
| Bone Busters Inc. (German Free Pl|  Yes  |  Yes  | Yes(2)|  Yes  | bonebgfp |
| Bone Busters Inc. (French)       |  Yes  |  Yes  | Yes(2)|  Yes  | bonebstf |
| Bone Busters Inc. (French Free Pl|  Yes  |  Yes  | Yes(2)|  Yes  | bonebffp |
| Bone Busters Inc. (Free Play)    |  Yes  |  Yes  | Yes(2)|  Yes  | bonebsfp |
| Bone Busters Inc. (German)       |  Yes  |  Yes  | Yes(2)|  Yes  | bonebstg |
| Bone Busters Inc.                |  Yes  |  Yes  | Yes(2)|  Yes  | bonebstr |
| Boomerang (Bugfixes patch)       |  Yes  |  Yes  |  Yes  |  Yes  | boomranb |
| Boomerang (Engineering Prototype,|  Yes  |  Yes  |  Yes  |  Yes  | boomrang |
| Bounty Hunter                    |  Yes  |  Yes  | Yes(2)|  Yes  | bountyh  |
| Bounty Hunter (Free Play)        |  Yes  |  Yes  | Yes(2)|  Yes  | bounthfp |
| Bounty Hunter (German)           |  Yes  |  Yes  | Yes(2)|  Yes  | bountyhg |
| Bounty Hunter (German Free Play) |  Yes  |  Yes  | Yes(2)|  Yes  | bountgfp |
| Bow & Arrow (Prototype, rev. 23) |  Yes  |  Yes  |  Yes  |  Yes  | bowarrow |
| Bow & Arrow (Prototype, rev. 22) |  Yes  |  Yes  |  Yes  |  Yes  | bowarroa |
| Bram Stoker's Dracula (L-2C Compe|  Yes  |  Yes  | Yes(2)|  Yes  | drac_l2c |
| Bram Stoker's Dracula (D-1 LED Gh|  Yes  |  Yes  | Yes(2)|  Yes  | drac_d1  |
| Bram Stoker's Dracula (P-12 LED G|  Yes  |  Yes  | Yes(2)|  Yes  | drac_p12 |
| Bram Stoker's Dracula (P-11 Proto|  Yes  |  Yes  | Yes(2)|  Yes  | drac_p11 |
| Bram Stoker's Dracula (L-1)      |  Yes  |  Yes  | Yes(2)|  Yes  | drac_l1  |
| Brave Team                       |  Yes  |  Yes  |  Yes  |  Yes  | brvteam  |
| Break                            |  Yes  |  Yes  |  Yes  |  Yes  | break    |
| Break Shot (1.2)                 |  Yes  |  Yes  |  Yes  |  Yes  | bsv102   |
| Break Shot (Redemption 1.0)      |  Yes  |  Yes  |  Yes  |  Yes  | bsv100r  |
| Break Shot (1.3)                 |  Yes  |  Yes  |  Yes  |  Yes  | bsv103   |
| Break Shot (Beta)                |  Yes  |  Yes  |  Yes  |  Yes  | bsb105   |
| Break Shot (Redemption 1.2)      |  Yes  |  Yes  |  Yes  |  Yes  | bsv102r  |
| Brooks & Dunn (rev. T1)          |  Yes  |  Yes  | Yes(2)|  Yes  | brooks   |
| Bubba the Redneck Werewolf (Holly|  Yes  |  Yes  | Yes(2)|  Yes  | bubba    |
| Buck Rogers                      |  Yes  |  Yes  | Yes(2)|  Yes  | buckrgrs |
| Bugs Bunny's Birthday Ball (LU-2 |  Yes  |  Yes  | Yes(2)|  Yes  | bbnny_lu |
| Bugs Bunny's Birthday Ball (L-2) |  Yes  |  Yes  | Yes(2)|  Yes  | bbnny_l2 |
| Bushido                          |  Yes  |  Yes  |  Yes  |  Yes  | bushido  |
| Bushido (alternate set)          |  Yes  |  Yes  |  Yes  |  Yes  | bushidoa |
| CSI: Crime Scene Investigation (V|  Yes  |  Yes  |  Yes  |  Yes  | csi_210  |
| CSI: Crime Scene Investigation (V|  Yes  |  Yes  |  Yes  |  Yes  | csi_230  |
| CSI: Crime Scene Investigation (V|  Yes  |  Yes  |  Yes  |  Yes  | csi_240  |
| CSI: Crime Scene Investigation (V|  Yes  |  Yes  |  Yes  |  Yes  | csi_200  |
| CSI: Crime Scene Investigation (V|  Yes  |  Yes  |  Yes  |  Yes  | csi_104  |
| CSI: Crime Scene Investigation (V|  Yes  |  Yes  |  Yes  |  Yes  | csi_102  |
| CSI: Crime Scene Investigation (V|  Yes  |  Yes  |  Yes  |  Yes  | csi_103  |
| Cactus Canyon (1.04 Test 0.2)    |  Yes  |  Yes  | Yes(2)|  Yes  | cc_104   |
| Cactus Canyon (1.2)              |  Yes  |  Yes  | Yes(2)|  Yes  | cc_12    |
| Cactus Canyon (1.0)              |  Yes  |  Yes  | Yes(2)|  Yes  | cc_10    |
| Cactus Canyon (1.3 Real Knocker p|  Yes  |  Yes  | Yes(2)|  Yes  | cc_13k   |
| Cactus Canyon (1.3)              |  Yes  |  Yes  | Yes(2)|  Yes  | cc_13    |
| Cactus Jack's                    |  Yes  |  Yes  | Yes(2)|  Yes  | cactjack |
| Camel Lights                     |  Yes  |  Yes  |  Yes  |  Yes  | camlight |
| Canasta '86'                     |  Yes  |  Yes  |  Yes  |  Yes  | canasta  |
| Captain Hook                     |  Yes  |  Yes  | Yes(2)|  Yes  | cpthook  |
| Car Hop                          |  Yes  |  Yes  | Yes(2)|  Yes  | carhop   |
| Caribbean Cruise                 |  Yes  |  Yes  | Yes(2)|  Yes  | ccruise  |
| Catacomb                         |  Yes  |  Yes  | Yes(2)|  Yes  | catacomb |
| Catacomb (Free Play)             |  Yes  |  Yes  | Yes(2)|  Yes  | catacofp |
| Cavaleiro Negro (alternate set 1)|  Yes  |  Yes  | Yes(2)|  Yes  | cavnegr1 |
| Cavaleiro Negro                  |  Yes  |  Yes  | Yes(2)|  Yes  | cavnegro |
| Cavaleiro Negro (alternate set 2)|  Yes  |  Yes  | Yes(2)|  Yes  | cavnegr2 |
| Caveman (Pinball/Video Combo)    |  Yes  |  Yes  | Yes(2)|  Yes  | caveman  |
| Caveman (Pinball/Video Combo) (Ev|  Yes  |  Yes  | Yes(2)|  Yes  | cavemane |
| Caveman (Pinball/Video Combo) (se|  Yes  |  Yes  | Yes(2)|  Yes  | cavemana |
| Centaur (Free Play)              |  Yes  |  Yes  |  Yes  |  Yes  | centaura |
| Centaur (Inder, alternate set)   |  Yes  |  Yes  |  Yes  |  Yes  | centaurj |
| Centaur                          |  Yes  |  Yes  |  Yes  |  Yes  | centaur  |
| Centaur (Free Play rev. 27)      |  Yes  |  Yes  |  Yes  |  Yes  | centaurb |
| Centaur (Inder)                  |  Yes  |  Yes  |  Yes  |  Yes  | centauri |
| Cerberus                         |  Yes  |  Yes  |  Yes  |  Yes  | cerberus |
| Champion                         |  Yes  |  Yes  |  Yes  |  Yes  | champion |
| Champion Pub, The (1.5)          |  Yes  |  Yes  | Yes(2)|  Yes  | cp_15    |
| Champion Pub, The (1.6 Pinball FX|  Yes  |  Yes  | Yes(2)|  Yes  | cp_16pfx |
| Champion Pub, The (1.6)          |  Yes  |  Yes  | Yes(2)|  Yes  | cp_16    |
| Chance                           |  Yes  |  Yes  |  Yes  |  Yes  | chance   |
| Charlie's Angels                 |  Yes  |  Yes  | Yes(2)|  Yes  | charlies |
| Checkpoint (1.7)                 |  Yes  |  Yes  |  Yes  |  Yes  | ckpt_a17 |
| Cheetah (Blue cabinet)           |  Yes  |  Yes  | Yes(2)|  Yes  | cheetahb |
| Cheetah (Black cabinet)          |  Yes  |  Yes  | Yes(2)|  Yes  | cheetah  |
| Cheetah (Free Play)              |  Yes  |  Yes  | Yes(2)|  Yes  | cheetafp |
| Cheetah (Bonus shot 1/game)      |  Yes  |  Yes  | Yes(2)|  Yes  | cheetah1 |
| Cheetah (Bonus shot 1/ball)      |  Yes  |  Yes  | Yes(2)|  Yes  | cheetah2 |
| Chicago Cubs Triple Play (German)|  Yes  |  Yes  | Yes(2)|  Yes  | triplayg |
| Chicago Cubs Triple Play         |  Yes  |  Yes  | Yes(2)|  Yes  | triplay  |
| Chicago Cubs Triple Play (rev. 1 |  Yes  |  Yes  | Yes(2)|  Yes  | triplyf1 |
| Chicago Cubs Triple Play (rev. 1)|  Yes  |  Yes  | Yes(2)|  Yes  | triplaya |
| Chicago Cubs Triple Play (German |  Yes  |  Yes  | Yes(2)|  Yes  | triplgfp |
| Chicago Cubs Triple Play (Free Pl|  Yes  |  Yes  | Yes(2)|  Yes  | triplyfp |
| Chuck-A-Luck                     |  Yes  |  Yes  |  Yes  |  Yes  | chucklck |
| Circa 1933                       |  Yes  |  Yes  |  Yes  |  Yes  | circa33  |
| Circus                           |  Yes  |  Yes  | Yes(2)|  Yes  | circus   |
| Circus (7-digit conversion)      |  Yes  |  Yes  | Yes(2)|  Yes  | circus7  |
| Cirqus Voltaire (2.0H Coin Play) |  Yes  |  Yes  | Yes(2)|  Yes  | cv_20hc  |
| Cirqus Voltaire (1.1)            |  Yes  |  Yes  | Yes(2)|  Yes  | cv_11    |
| Cirqus Voltaire (1.3)            |  Yes  |  Yes  | Yes(2)|  Yes  | cv_13    |
| Cirqus Voltaire (1.4)            |  Yes  |  Yes  | Yes(2)|  Yes  | cv_14    |
| Cirqus Voltaire (1.0)            |  Yes  |  Yes  | Yes(2)|  Yes  | cv_10    |
| Cirqus Voltaire (2.0H)           |  Yes  |  Yes  | Yes(2)|  Yes  | cv_20h   |
| City Slicker                     |  Yes  |  Yes  |  Yes  |  Yes  | cityslck |
| Clash, The (Rock Encore unofficia|  Yes  |  Yes  | Yes(2)|  Yes  | clash    |
| Class of 1812                    |  Yes  |  Yes  | Yes(2)|  Yes  | clas1812 |
| Cleopatra                        |  Yes  |  Yes  | Yes(2)|  Yes  | cleoptra |
| Close Encounters of the Third Kin|  Yes  |  Yes  | Yes(2)|  Yes  | closeenc |
| Clown                            |  Yes  |  Yes  |Partial|  Yes  | clown    |
| Clown (Inder)                    |  Yes  |  Yes  |  Yes  |  Yes  | pinclown |
| Clown (Free Play)                |  Yes  |  Yes  |Partial|  Yes  | clownfp  |
| Cobra (Playbar)                  |   No  |  Yes  |  Yes  |  Yes  | cobrapb  |
| Cobra                            |  Yes  |  Yes  |  Yes  |  Yes  | cobra    |
| Columbia                         |  Yes  |  Yes  |  Yes  |  Yes  | columbia |
| Come Back                        |   No  |  Yes  |  Yes  |  Yes  | comeback |
| Comet (L-5)                      |  Yes  |  Yes  | Yes(2)|  Yes  | comet_l5 |
| Comet (L-4)                      |  Yes  |  Yes  | Yes(2)|  Yes  | comet_l4 |
| Coney Island!                    |  Yes  |  Yes  | Yes(2)|  Yes  | coneyis  |
| Congo (1.3)                      |  Yes  |  Yes  | Yes(2)|  Yes  | congo_13 |
| Congo (1.1)                      |  Yes  |  Yes  | Yes(2)|  Yes  | congo_11 |
| Congo (2.1)                      |  Yes  |  Yes  | Yes(2)|  Yes  | congo_21 |
| Congo (2.0)                      |  Yes  |  Yes  | Yes(2)|  Yes  | congo_20 |
| Congo (1.1, DCS-Sound 1.0)       |  Yes  |  Yes  |Part(2)|  Yes  | congo_11s10 |
| Contact (L-1)                    |  Yes  |  Yes  | Yes(2)|  Yes  | cntct_l1 |
| Continental (Bingo, alternate ver|   No  |  Yes  |  Yes  |  Yes  | cntintl2 |
| Continental (Bingo)              |   No  |  Yes  |  Yes  |  Yes  | cntinntl |
| Corsario                         |  Yes  |  Yes  |  Yes  |  Yes  | corsario |
| Corvette (LX-1)                  |  Yes  |  Yes  | Yes(2)|  Yes  | corv_lx1 |
| Corvette (FreeWPC 0.61)          |  Yes  |  Yes  | Yes(2)|  Yes  | corv_f61 |
| Corvette (2.1)                   |  Yes  |  Yes  | Yes(2)|  Yes  | corv_21  |
| Corvette (PX-3 Prototype)        |  Yes  |  Yes  | Yes(2)|  Yes  | corv_px3 |
| Corvette (LX-2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | corv_lx2 |
| Corvette (DX-1 LED Ghost Fix)    |  Yes  |  Yes  | Yes(2)|  Yes  | corv_dx1 |
| Corvette (LA-1)                  |  Yes  |  Yes  | Yes(2)|  Yes  | corv_la1 |
| Corvette (PX-5 Prototype LED Ghos|  Yes  |  Yes  | Yes(2)|  Yes  | corv_px5 |
| Corvette (PX-4 Prototype)        |  Yes  |  Yes  | Yes(2)|  Yes  | corv_px4 |
| Cosmic                           |  Yes  |  Yes  | Yes(2)|  Yes  | cosmic   |
| Cosmic Flash                     |  Yes  |  Yes  |  Yes  |  Yes  | cosflash |
| Cosmic Gunfight (L-1)            |  Yes  |  Yes  | Yes(2)|  Yes  | csmic_l1 |
| Cosmic Princess                  |  Yes  |  Yes  | Yes(2)|  Yes  | princess |
| Cosmic Princess (Free Play)      |  Yes  |  Yes  | Yes(2)|  Yes  | princefp |
| Count-Down                       |  Yes  |  Yes  | Yes(2)|  Yes  | countdwn |
| Counterforce                     |  Yes  |  Yes  | Yes(2)|  Yes  | cntforce |
| Counterforce (7-digit conversion)|  Yes  |  Yes  | Yes(2)|  Yes  | cntforc7 |
| Cowboy Eight Ball (alternate set)|  Yes  |  Yes  |  Yes  |  Yes  | cowboy3a |
| Cowboy Eight Ball                |  Yes  |  Yes  |  Yes  |  Yes  | cowboy3p |
| Cowboy Eight Ball 2              |  Yes  |  Yes  |  Yes  |  Yes  | cowboy   |
| Creature from the Black Lagoon (L|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_l2 |
| Creature from the Black Lagoon (D|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_d3 |
| Creature from the Black Lagoon (L|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_l4 |
| Creature from the Black Lagoon (P|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_p3 |
| Creature from the Black Lagoon (L|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_l4c |
| Creature from the Black Lagoon (D|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_d4 |
| Creature from the Black Lagoon (D|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_d2 |
| Creature from the Black Lagoon (L|  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_l3 |
| Cue (Prototype)                  |  Yes  |  Yes  | Yes(2)|  Yes  | cue      |
| Cue Ball Wizard (rev. 2)         |  Yes  |  Yes  | Yes(2)|  Yes  | cueball2 |
| Cue Ball Wizard                  |  Yes  |  Yes  | Yes(2)|  Yes  | cueball  |
| Cue Ball Wizard (rev. 3)         |  Yes  |  Yes  | Yes(2)|  Yes  | cueball3 |
| Cut The Cheese (Redemption)      | No(1) |  Yes  |  Yes  |  Yes  | ctcheese |
| Cut The Cheese Deluxe (Redemption|  Yes  |  Yes  |  Yes  |  Yes  | ctchzdlx |
| Cybernaut (Free Play)            |  Yes  |  Yes  |  Yes  |  Yes  | cybrnaua |
| Cybernaut                        |  Yes  |  Yes  |  Yes  |  Yes  | cybrnaut |
| Cyclone (L-1)                    |  Yes  |  Yes  | Yes(2)|  Yes  | cycln_l1 |
| Cyclone (L-4)                    |  Yes  |  Yes  | Yes(2)|  Yes  | cycln_l4 |
| Cyclone (L-5)                    |  Yes  |  Yes  | Yes(2)|  Yes  | cycln_l5 |
| Cyclopes (11/85)                 |  Yes  |  Yes  | Yes(2)|  Yes  | cyclope1 |
| Cyclopes (12/85)                 |  Yes  |  Yes  | Yes(2)|  Yes  | cyclopes |
| Dakar                            |  Yes  |  Yes  |  Yes  |  Yes  | dakar    |
| Dale Jr. (5.00)                  |  Yes  |  Yes  |  Yes  |  Yes  | dalejr   |
| Dark Shadow                      |  Yes  |  Yes  |  Yes  |  Yes  | darkshad |
| Data East Test Chip              |  Yes  |  Yes  |  Yes  |  Yes  | detest   |
| Deadly Weapon                    |  Yes  |  Yes  | Yes(2)|  Yes  | deadweap |
| Defender (L-4)                   |  Yes  |  Yes  | Yes(2)|  Yes  | dfndr_l4 |
| Demolition Man (H-5C Competition |  Yes  |  Yes  | Yes(2)|  Yes  | dm_h5c   |
| Demolition Man (DH-5 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | dm_dh5   |
| Demolition Man (DH-5B Coin Play L|  Yes  |  Yes  | Yes(2)|  Yes  | dm_dh5b  |
| Demolition Man (LX-4C Competition|  Yes  |  Yes  | Yes(2)|  Yes  | dm_lx4c  |
| Demolition Man (H-6B Coin Play)  |  Yes  |  Yes  | Yes(2)|  Yes  | dm_h6b   |
| Demolition Man (DX-4 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | dm_dx4   |
| Demolition Man (FreeWPC/Demolitio|  Yes  |  Yes  | Yes(2)|  Yes  | dm_dt099 |
| Demolition Man (DX-3 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | dm_dx3   |
| Demolition Man (LX-3)            |  Yes  |  Yes  | Yes(2)|  Yes  | dm_lx3   |
| Demolition Man (FreeWPC/Demolitio|  Yes  |  Yes  | Yes(2)|  Yes  | dm_dt101 |
| Demolition Man (DA-1 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | dm_da1   |
| Demolition Man (H-5B Coin Play)  |  Yes  |  Yes  | Yes(2)|  Yes  | dm_h5b   |
| Demolition Man (H-6)             |  Yes  |  Yes  | Yes(2)|  Yes  | dm_h6    |
| Demolition Man (LX-4)            |  Yes  |  Yes  | Yes(2)|  Yes  | dm_lx4   |
| Demolition Man (H-6C Competition |  Yes  |  Yes  | Yes(2)|  Yes  | dm_h6c   |
| Demolition Man (H-5)             |  Yes  |  Yes  | Yes(2)|  Yes  | dm_h5    |
| Demolition Man (LA-1)            |  Yes  |  Yes  | Yes(2)|  Yes  | dm_la1   |
| Demolition Man (PA-2 Prototype)  |  Yes  |  Yes  | Yes(2)|  Yes  | dm_pa2   |
| Demolition Man (PX-6 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | dm_px6   |
| Demolition Man (PA-3 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | dm_pa3   |
| Demolition Man (PX-5 Prototype)  |  Yes  |  Yes  | Yes(2)|  Yes  | dm_px5   |
| Devil Riders (French Speech)     |  Yes  |  Yes  |  Yes  |  Yes  | dvlridef |
| Devil Riders (Free Play)         |  Yes  |  Yes  |  Yes  |  Yes  | dvlrdfp  |
| Devil Riders (Italian Speech, Fre|  Yes  |  Yes  |  Yes  |  Yes  | dvlrdifp |
| Devil Riders (Italian Speech)    |  Yes  |  Yes  |  Yes  |  Yes  | dvlridei |
| Devil Riders                     |  Yes  |  Yes  |  Yes  |  Yes  | dvlrider |
| Devil Riders (German Speech, Free|  Yes  |  Yes  |  Yes  |  Yes  | dvlrdgfp |
| Devil Riders (German Speech)     |  Yes  |  Yes  |  Yes  |  Yes  | dvlrideg |
| Devil's Dare (Sound Only)        |  Yes  |  Yes  | Yes(2)|  Yes  | dvlsdre2 |
| Devil's Dare                     |  Yes  |  Yes  | Yes(2)|  Yes  | dvlsdre  |
| Diamond Lady (Free Play)         |  Yes  |  Yes  | Yes(2)|  Yes  | diamonfp |
| Diamond Lady (German Free Play)  |  Yes  |  Yes  | Yes(2)|  Yes  | diamngfp |
| Diamond Lady (French)            |  Yes  |  Yes  | Yes(2)|  Yes  | diamondf |
| Diamond Lady (French Free Play)  |  Yes  |  Yes  | Yes(2)|  Yes  | diamnffp |
| Diamond Lady                     |  Yes  |  Yes  | Yes(2)|  Yes  | diamond  |
| Diamond Lady (German)            |  Yes  |  Yes  | Yes(2)|  Yes  | diamondg |
| Diner (LA-4)                     |  Yes  |  Yes  | Yes(2)|  Yes  | diner_l4 |
| Diner (LF-2 French)              |  Yes  |  Yes  | Yes(2)|  Yes  | diner_f2 |
| Diner (LU-2 Europe)              |  Yes  |  Yes  | Yes(2)|  Yes  | diner_l2 |
| Diner (LU-1 Europe)              |  Yes  |  Yes  | Yes(2)|  Yes  | diner_l1 |
| Diner (PA-0 Prototype)           |  Yes  |  Yes  | Yes(2)|  Yes  | diner_p0 |
| Diner (LA-3)                     |  Yes  |  Yes  | Yes(2)|  Yes  | diner_l3 |
| Dinosaur Eggs (R02)              |  Yes  |  Yes  |  Yes  |  Yes  | dinoeggs |
| Dirty Harry (LX-2)               |  Yes  |  Yes  | Yes(2)|  Yes  | dh_lx2   |
| Dirty Harry (LF-2 French)        |  Yes  |  Yes  | Yes(2)|  Yes  | dh_lf2   |
| Dirty Harry (DX-2 LED Ghost Fix) |  Yes  |  Yes  | Yes(2)|  Yes  | dh_dx2   |
| Disco '79                        |  Yes  |  Yes  |  Yes  |  Yes  | disco79  |
| Disco Dancing                    |  Yes  |  Yes  |   No  |  Yes  | discodan |
| Disco Fever (L-1)                |  Yes  |  Yes  | Yes(2)|  Yes  | disco_l1 |
| Dolly Parton                     |  Yes  |  Yes  | Yes(2)|  Yes  | dollyptn |
| Dolly Parton (7-digit conversion)|  Yes  |  Yes  | Yes(2)|  Yes  | dollyptb |
| Dr. Dude (PA-6 WPC Prototype)    |  Yes  |  Yes  | Yes(2)|  Yes  | dd_p06   |
| Dr. Dude (LU-1 Europe)           |  Yes  |  Yes  | Yes(2)|  Yes  | dd_lu1   |
| Dr. Dude (LA-3C Competition MOD) |  Yes  |  Yes  | Yes(2)|  Yes  | dd_l3c   |
| Dr. Dude (LA-2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | dd_l2    |
| Dr. Dude (PA-6 Prototype)        |  Yes  |  Yes  | Yes(2)|  Yes  | dd_p6    |
| Dr. Dude (PA-7 WPC Prototype)    |  Yes  |  Yes  | Yes(2)|  Yes  | dd_p7    |
| Dr. Who (D-1 LED Ghost Fix)      |  Yes  |  Yes  | Yes(2)|  Yes  | dw_d1    |
| Dr. Who (P-6 LED Ghost Fix)      |  Yes  |  Yes  | Yes(2)|  Yes  | dw_p6    |
| Dr. Who (D-2 LED Ghost Fix)      |  Yes  |  Yes  | Yes(2)|  Yes  | dw_d2    |
| Dr. Who (L-1)                    |  Yes  |  Yes  | Yes(2)|  Yes  | dw_l1    |
| Dr. Who (P-5 Prototype)          |  Yes  |  Yes  | Yes(2)|  Yes  | dw_p5    |
| Dr. Who (L-2)                    |  Yes  |  Yes  | Yes(2)|  Yes  | dw_l2    |
| Dracula                          |  Yes  |  Yes  | Yes(2)|  Yes  | dracula  |
| Dracula (Free Play)              |  Yes  |  Yes  | Yes(2)|  Yes  | draculfp |
| Dragon                           |  Yes  |  Yes  | Yes(2)|  Yes  | dragon   |
| Dragonfist (Free Play)           |  Yes  |  Yes  | Yes(2)|  Yes  | dragfifp |
| Dragonfist (Drop Target Score pat|  Yes  |  Yes  | Yes(2)|  Yes  | dragfib2 |
| Dragonfist                       |  Yes  |  Yes  | Yes(2)|  Yes  | dragfist |
| Dragonfist (Drop Target Score pat|  Yes  |  Yes  | Yes(2)|  Yes  | dragfisb |
| Drakor                           |  Yes  |  Yes  | Yes(2)|  Yes  | drakor   |
| Dungeons & Dragons               |  Yes  |  Yes  |  Yes  |  Yes  | dungdrag |
| Earth, Wind & Fire               |  Yes  |  Yes  |  Yes  |  Yes  | ewf      |
| Earthshaker (LA-1)               |  Yes  |  Yes  | Yes(2)|  Yes  | esha_la1 |
| Earthshaker (PR-4 Family version)|  Yes  |  Yes  | Yes(2)|  Yes  | esha_pr4 |
| Earthshaker (LG-1 German)        |  Yes  |  Yes  | Yes(2)|  Yes  | esha_lg1 |
| Earthshaker (LG-2 German)        |  Yes  |  Yes  | Yes(2)|  Yes  | esha_lg2 |
| Earthshaker (LA-3)               |  Yes  |  Yes  | Yes(2)|  Yes  | esha_la3 |
| Earthshaker (LA-4C Competition MO|  Yes  |  Yes  | Yes(2)|  Yes  | esha_l4c |
| Earthshaker (PA-1 Prototype)     |  Yes  |  Yes  | Yes(2)|  Yes  | esha_pa1 |
